"Package","Dataset","Description"
"BSDA","Shock","Effect of experimental shock on time to complete difficult task"
"BSDA","Shoplift","Sales receipts versus shoplifting losses for a department store"
"BSDA","Short","James Short's measurements of the parallax of the sun"
"BSDA","Shuttle","Number of people riding shuttle versus number of automobiles in the downtown area"
"BSDA","Simpson","Grade point averages of men and women participating in various sports-an illustration of Simpson's paradox"
"BSDA","Situp","Maximum number of situps by participants in an exercise class"
"BSDA","Skewed","Illustrates the Wilcoxon Rank Sum test"
"BSDA","Skin","Survival times of closely and poorly matched skin grafts on burn patients"
"BSDA","Slc","Sodium-lithium countertransport activity on 190 individuals from six large English kindred"
"BSDA","Smokyph","Water pH levels of 75 water samples taken in the Great Smoky Mountains"
"BSDA","Snore","Snoring versus heart disease"
"BSDA","Snow","Concentration of microparticles in snowfields of Greenland and Antarctica"
"BSDA","Soccer","Weights of 25 soccer players"
"BSDA","Social","Median income level for 25 social workers from North Carolina"
"BSDA","Sophomor","Grade point averages, SAT scores and final grade in college algebra for 20 sophomores"
"BSDA","South","Murder rates for 30 cities in the South"
"BSDA","Speed","Speed reading scores before and after a course on speed reading"
"BSDA","Spellers","Standardized spelling test scores for two fourth grade classes"
"BSDA","Spelling","Spelling scores for 9 eighth graders before and after a 2-week course of instruction"
"BSDA","Sports","Favorite sport by gender"
"BSDA","Spouse","Convictions in spouse murder cases by gender"
"BSDA","Stable","Times of a 2-year old stallion on a one mile run"
"BSDA","Stamp","Thicknesses of 1872 Hidalgo stamps issued in Mexico"
"BSDA","Statclas","Grades for two introductory statistics classes"
"BSDA","Statelaw","Operating expenditures per resident for each of the state law enforcement agencies"
"BSDA","Statisti","Test scores for two beginning statistics classes"
"BSDA","Step","STEP science test scores for a class of ability-grouped students"
"BSDA","Stress","Short-term memory test scores on 12 subjects before and after a stressful situation"
"BSDA","Study","Number of hours studied per week by a sample of 50 freshmen"
"BSDA","Submarin","Number of German submarines sunk by U.S. Navy in World War II"
"BSDA","Subway","Time it takes a subway to travel from the airport to downtown"
"BSDA","Sunspot","Wolfer sunspot numbers from 1700 through 2000"
"BSDA","Superbowl","Margin of victory in Superbowls I to XXXV"
"BSDA","Supercar","Top speeds attained by five makes of supercars"
"BSDA","Tablrock","Ozone concentrations at Mt. Mitchell, North Carolina"
"BSDA","Teacher","Average teacher's salaries across the states in the 70s 80s and 90s"
"BSDA","Tenness","Tennessee self concept scores for 20 gifted high school students"
"BSDA","Tensile","Tensile strength of plastic bags from two production runs"
"BSDA","Test1","Grades on the first test in a statistics class"
"BSDA","Thermal","Heat loss of thermal pane windows versus outside temperature"
"BSDA","Tiaa","1999-2000 closing prices for TIAA-CREF stocks"
"BSDA","Ticket","Time to complete an airline ticket reservation"
"BSDA","Toaster","Consumer Reports (Oct 94) rating of toaster ovens versus the cost"
"BSDA","Tonsils","Size of tonsils collected from 1,398 children"
"BSDA","Tort","The number of torts, average number of months to process a tort, and county population from the court files of the nation's largest counties"
"BSDA","Toxic","Hazardous waste sites near minority communities"
"BSDA","Track","National Olympic records for women in several races"
"BSDA","Track15","Olympic winning times for the men's 1500-meter run"
"BSDA","Treatments","Illustrates analysis of variance for three treatment groups"
"BSDA","Trees","Number of trees in 20 grids"
"BSDA","Trucks","Miles per gallon for standard 4-wheel drive trucks manufactured by Chevrolet, Dodge and Ford"
"BSDA","Tv","Percent of students that watch more than 6 hours of TV per day versus national math test scores"
"BSDA","Twin","Intelligence test scores for identical twins in which one twin is given a drug"
"BSDA","Undergrad","Data set describing a sample of undergraduate students"
"BSDA","Vacation","Number of days of paid holidays and vacation leave for sample of 35 textile workers"
"BSDA","Vaccine","Reported serious reactions due to vaccines in 11 southern states"
"BSDA","Vehicle","Fatality ratings for foreign and domestic vehicles"
"BSDA","Verbal","Verbal test scores and number of library books checked out for 15 eighth graders"
"BSDA","Victoria","Number of sunspots versus mean annual level of Lake Victoria Nyanza from 1902 to 1921"
"BSDA","Viscosit","Viscosity measurements of a substance on two different days"
"BSDA","Visual","Visual acuity of a group of subjects tested under a specified dose of a drug"
"BSDA","Vocab","Reading scores before and after vocabulary training for 14 employees who did not complete high school"
"BSDA","Wastewat","Volume of injected waste water from Rocky Mountain Arsenal and number of earthquakes near Denver"
"BSDA","Weather94","Weather casualties in 1994"
"BSDA","Wheat","Price of a bushel of wheat versus the national weekly earnings of production workers"
"BSDA","Windmill","Direct current produced by different wind velocities"
"BSDA","Window","Wind leakage for storm windows exposed to a 50 mph wind"
"BSDA","Wins","Baseball team wins versus seven independent variables for National league teams in 1990"
"BSDA","Wool","Strength tests of two types of wool fabric"
"BSDA","Yearsunspot","Monthly sunspot activity from 1974 to 2000"
"carData","AMSsurvey","American Math Society Survey Data"
"carData","Adler","Experimenter Expectations"
"carData","Angell","Moral Integration of American Cities"
"carData","Anscombe","U. S. State Public-School Expenditures"
"carData","Arrests","Arrests for Marijuana Possession"
"carData","BEPS","British Election Panel Study"
"carData","Baumann","Methods of Teaching Reading Comprehension"
"carData","Bfox","Canadian Women's Labour-Force Participation"
"carData","Blackmore","Exercise Histories of Eating-Disordered and Control Subjects"
"carData","Burt","Fraudulent Data on IQs of Twins Raised Apart"
"carData","CES11","2011 Canadian National Election Study, With Attitude Toward Abortion"
"carData","CanPop","Canadian Population Data"
"carData","Chile","Voting Intentions in the 1988 Chilean Plebiscite"
"carData","Chirot","The 1907 Romanian Peasant Rebellion"
"carData","Cowles","Cowles and Davis's Data on Volunteering"
"carData","Davis","Self-Reports of Height and Weight"
"carData","DavisThin","Davis's Data on Drive for Thinness"
"carData","Depredations","Minnesota Wolf Depredation Data"
"carData","Duncan","Duncan's Occupational Prestige Data"
"carData","Ericksen","The 1980 U.S. Census Undercount"
"carData","Florida","Florida County Voting"
"carData","Freedman","Crowding and Crime in U. S. Metropolitan Areas"
"carData","Friendly","Format Effects on Recall"
"carData","GSSvocab","Data from the General Social Survey (GSS) from the National Opinion Research Center of the University of Chicago."
"carData","Ginzberg","Data on Depression"
"carData","Greene","Refugee Appeals"
"carData","Guyer","Anonymity and Cooperation"
"carData","Hartnagel","Canadian Crime-Rates Time Series"
"carData","Highway1","Highway Accidents"
"carData","KosteckiDillon","Treatment of Migraine Headaches"
"carData","Leinhardt","Data on Infant-Mortality"
"carData","LoBD","Cancer drug data use to provide an example of the use of the skew power distributions."
"carData","Mandel","Contrived Collinear Data"
"carData","Migration","Canadian Interprovincial Migration Data"
"carData","Moore","Status, Authoritarianism, and Conformity"
"carData","MplsDemo","Minneapolis Demographic Data 2015, by Neighborhood"
"carData","MplsStops","Minneapolis Police Department 2017 Stop Data"
"carData","Mroz","U.S. Women's Labor-Force Participation"
"carData","OBrienKaiser","O'Brien and Kaiser's Repeated-Measures Data"
"carData","OBrienKaiserLong","O'Brien and Kaiser's Repeated-Measures Data in ""Long"" Format"
"carData","Ornstein","Interlocking Directorates Among Major Canadian Firms"
"carData","Pottery","Chemical Composition of Pottery"
"carData","Prestige","Prestige of Canadian Occupations"
"carData","Quartet","Four Regression Datasets"
"carData","Robey","Fertility and Contraception"
"carData","Rossi","Rossi et al.'s Criminal Recidivism Data"
"carData","SLID","Survey of Labour and Income Dynamics"
"carData","Sahlins","Agricultural Production in Mazulu Village"
"carData","Salaries","Salaries for Professors"
"carData","Soils","Soil Compositions of Physical and Chemical Characteristics"
"carData","States","Education and Related Statistics for the U.S. States"
"carData","TitanicSurvival","Survival of Passengers on the Titanic"
"carData","Transact","Transaction data"
"carData","UN","National Statistics from the United Nations, Mostly From 2009-2011"
"carData","UN98","United Nations Social Indicators Data 1998]"
"carData","USPop","Population of the United States"
"carData","Vocab","Vocabulary and Education"
"carData","WVS","World Values Surveys"
"carData","WeightLoss","Weight Loss Data"
"carData","Wells","Well Switching in Bangladesh"
"carData","Womenlf","Canadian Women's Labour-Force Participation"
"carData","Wong","Post-Coma Recovery of IQ"
"carData","Wool","Wool data"
"caret","GermanCredit","German Credit Data"
"caret","Sacramento","Sacramento CA Home Prices"
"caret","absorp (tecator)","Fat, Water and Protein Content of Meat Samples"
"caret","bbbDescr (BloodBrain)","Blood Brain Barrier Data"
"caret","cars","Kelly Blue Book resale data for 2005 model year GM cars"
"caret","cox2Class (cox2)","COX-2 Activity Data"
"caret","cox2Descr (cox2)","COX-2 Activity Data"
"caret","cox2IC50 (cox2)","COX-2 Activity Data"
"caret","dhfr","Dihydrofolate Reductase Inhibitors Data"
"caret","endpoints (tecator)","Fat, Water and Protein Content of Meat Samples"
"caret","fattyAcids (oil)","Fatty acid composition of commercial oils"
"caret","logBBB (BloodBrain)","Blood Brain Barrier Data"
"caret","mdrrClass (mdrr)","Multidrug Resistance Reversal (MDRR) Agent Data"
"caret","mdrrDescr (mdrr)","Multidrug Resistance Reversal (MDRR) Agent Data"
"caret","oilType (oil)","Fatty acid composition of commercial oils"
"caret","potteryClass (pottery)","Pottery from Pre-Classical Sites in Italy"
"caret","scat","Morphometric Data on Scat"
"caret","scat_orig (scat)","Morphometric Data on Scat"
"caret","segmentationData","Cell Body Segmentation"
"clock","clock_iso_weekdays","Integer codes"
"clock","clock_months","Integer codes"
"clock","clock_weekdays","Integer codes"
"clue","CKME","Cassini Data Partitions Obtained by K-Means"
"clue","Cassini","Cassini Data"
"clue","GVME","Gordon-Vichi Macroeconomic Partition Ensemble Data"
"clue","GVME_Consensus","Gordon-Vichi Macroeconomic Consensus Partition Data"
"clue","Kinship82","Rosenberg-Kim Kinship Terms Partition Data"
"clue","Kinship82_Consensus","Gordon-Vichi Kinship82 Consensus Partition Data"
"clue","Phonemes","Miller-Nicely Consonant Phoneme Confusion Data"
"cluster","agriculture","European Union Agricultural Workforces"
"cluster","animals","Attributes of Animals"
"cluster","chorSub","Subset of C-horizon of Kola Data"
"cluster","flower","Flower Characteristics"
"cluster","plantTraits","Plant Species Traits Data"
"cluster","pluton","Isotopic Composition Plutonium Batches"
"cluster","ruspini","Ruspini Data"
"cluster","votes.repub","Votes for Republican Candidate in Presidential Elections"
"cluster","xclara","Bivariate Data Set with 3 Clusters"
"clusterProfiler","DE_GSE8057","Datasets gcSample contains a sample of gene clusters."
"clusterProfiler","gcSample","Datasets gcSample contains a sample of gene clusters."
"clusterProfiler","kegg_species","Datasets gcSample contains a sample of gene clusters."
"coda","line","Simple linear regression example"
"coin","CWD","Coarse Woody Debris"
"coin","GTSG","Gastrointestinal Tumor Study Group"
"coin","alpha","Genetic Components of Alcoholism"
"coin","alzheimer","Smoking and Alzheimer's Disease"
"coin","asat","Toxicological Study on Female Wistar Rats"
"coin","glioma","Malignant Glioma Pilot Study"
"coin","hohnloser","Left Ventricular Ejection Fraction"
"coin","jobsatisfaction","Income and Job Satisfaction"
"coin","malformations","Maternal Drinking and Congenital Sex Organ Malformation"
"coin","mercuryfish","Chromosomal Effects of Mercury-Contaminated Fish Consumption"
"coin","neuropathy","Acute Painful Diabetic Neuropathy"
"coin","ocarcinoma","Ovarian Carcinoma"
"coin","photocar","Multiple Dosing Photococarcinogenicity Experiment"
"coin","rotarod","Rotating Rats"
"coin","treepipit","Tree Pipits in Franconian Oak Forests"
"coin","vision","Unaided Distance Vision"
"colorspace","USSouthPolygon","Polygon for County Map of US South States: Alabama, Georgia, and South Carolina"
"colorspace","max_chroma_table","Compute Maximum Chroma for Given Hue and Luminance in HCL"
"deldir","grapherXmpl","grapherXmpl"
"deldir","niProperties","Northern Ireland properties."
"deldir","seaweed","seaweed"
"deldir","toyPattern","A toy marked point pattern object, with 59 points."
"deldir","volTriPoints","Solute plume concentration data set."
"dendextend","khan","Microarray gene expression dataset from Khan et al., 2001. Subset of 306 genes."
"DescTools","cards","Datasets for Probabilistic Simulation"
"DescTools","d.countries","ISO 3166-1 Country Codes"
"DescTools","d.diamonds","Data diamonds"
"DescTools","d.periodic","Periodic Table of Elements"
"DescTools","d.pizza","Data pizza"
"DescTools","d.prefix","Unit Conversion and Metrix Prefixes"
"DescTools","d.units","Unit Conversion and Metrix Prefixes"
"DescTools","d.whisky","Classification of Scotch Single Malts"
"DescTools","day.abb","Build-in Constants Extension"
"DescTools","day.name","Build-in Constants Extension"
"DescTools","hblue","Some Custom Palettes"
"DescTools","hecru","Some Custom Palettes"
"DescTools","hgreen","Some Custom Palettes"
"DescTools","horange","Some Custom Palettes"
"DescTools","hred","Some Custom Palettes"
"DescTools","hyellow","Some Custom Palettes"
"DescTools","roulette","Datasets for Probabilistic Simulation"
"DescTools","tarot","Datasets for Probabilistic Simulation"
"DescTools","wdConst","Word VBA Constants"
"DescTools","xlConst","Word VBA Constants"
"diagram","Rigaweb (rigaweb)","Gulf of Riga autumn planktonic food web"
"diagram","Takapotoweb (takapotoweb)","Takapoto atoll planktonic food web"
"diagram","Teasel","Population dynamics model transition matrix of teasel"
"DiagrammeR","currencies","ISO-4217 currency data."
"DiagrammeR","edge_list_1","Edge list - Version 1."
"DiagrammeR","edge_list_2","Edge list - Version 2."
"DiagrammeR","node_list_1","Node list - Version 1."
"DiagrammeR","node_list_2","Node list - Version 2."
"DiagrammeR","usd_exchange_rates","US Dollar exchange rates."
"DiceDesign","NOLHDRdesigns","List of De Rainville's Nearly Orthogonal Latin Hypercubes designs"
"DiceDesign","NOLHdesigns","List of Cioppa's Nearly Orthogonal Latin Hypercubes designs"
"DiceDesign","OA131","A 3D orthogonal array of strength 2"
"DiceDesign","OA131_scrambled","A scrambled 3D orthogonal array of strength 2"
"doBy","NIRmilk","NIRmilk"
"doBy","beets","beets data"
"doBy","breastcancer","Gene expression signatures for p53 mutation status in 250 breast cancer samples"
"doBy","budworm","Budworm data"
"doBy","cad1","Coronary artery disease data"
"doBy","cad2","Coronary artery disease data"
"doBy","carcass","Lean meat contents of 344 pig carcasses"
"doBy","carcassall","Lean meat contents of 344 pig carcasses"
"doBy","codstom","Diet of Atlantic cod in the Gulf of St. Lawrence (Canada)"
"doBy","crickets","crickets data"
"doBy","crimeRate","crimeRate"
"doBy","crime_rate","crimeRate"
"doBy","cropyield","Yield from Danish agricultural production of grain and root crop."
"doBy","dietox","Growth curves of pigs in a 3x3 factorial experiment"
"doBy","fatacid","Fish oil in pig food"
"doBy","fev","Forced expiratory volume in children"
"doBy","haldCement","Heat development in cement under hardening."
"doBy","income","income data"
"doBy","math","Mathematics marks for students"
"doBy","mathmark","Mathematics marks for students"
"doBy","milkman","Milk yield data for manually milked cows."
"doBy","milkman_rdm1","Milk yield data for manually milked cows."
"doBy","nir_milk","nir_milk"
"doBy","personality","Personality traits"
"doBy","potatoes","Weight and size of 20 potatoes"
"doBy","prostate","Prostate Tumor Gene Expression Dataset"
"DOSE","DGN_EXTID2PATHID","Datasets"
"DOSE","DGN_PATHID2EXTID","Datasets"
"DOSE","DGN_PATHID2NAME","Datasets"
"DOSE","DO2ALLEG","Datasets"
"DOSE","DO2EG","Datasets"
"DOSE","DOIC","Datasets"
"DOSE","DOLite2EG","Datasets"
"DOSE","DOLiteTerm","Datasets"
"DOSE","EG2ALLDO","Datasets"
"DOSE","EG2DO","Datasets"
"DOSE","EG2DOLite","Datasets"
"DOSE","NCG_EXTID2PATHID","Datasets"
"DOSE","NCG_PATHID2EXTID","Datasets"
"DOSE","NCG_PATHID2NAME","Datasets"
"DOSE","VDGN_EXTID2PATHID","Datasets"
"DOSE","VDGN_PATHID2EXTID","Datasets"
"DOSE","VDGN_PATHID2NAME","Datasets"
"DOSE","dotbl","Datasets"
"DOSE","geneList","Datasets"
"dplyr","band_instruments","Band membership"
"dplyr","band_instruments2","Band membership"
"dplyr","band_members","Band membership"
"dplyr","starwars","Starwars characters"
"dplyr","storms","Storm tracks data"
"dunn.test","homecare","Occupation and Home Care Eligibility"
"emmeans","MOats","Oats data in multivariate form"
"emmeans","auto.noise (autonoise)","Auto Pollution Filter Noise"
"emmeans","feedlot","Feedlot data"
"emmeans","fiber","Fiber data"
"emmeans","neuralgia","Neuralgia data"
"emmeans","nutrition","Nutrition data"
"emmeans","oranges","Sales of oranges"
"emmeans","pigs","Effects of dietary protein on free plasma leucine concentration in pigs"
"emmeans","ubds","Unbalanced dataset"
"expm","matStig","Stig's ""infamous"" Example Matrix"
"factoextra","decathlon2","Athletes' performance in decathlon"
"factoextra","housetasks","House tasks contingency table"
"factoextra","multishapes","A dataset containing clusters of multiple shapes"
"factoextra","poison","Poison"
"FactoMineR","JO","Number of medals in athletism during olympic games per country"
"FactoMineR","children","Children (data)"
"FactoMineR","decathlon","Performance in decathlon (data)"
"FactoMineR","footsize","footsize"
"FactoMineR","geomorphology","geomorphology(data)"
"FactoMineR","health","health (data)"
"FactoMineR","hobbies","hobbies (data)"
"FactoMineR","milk","milk"
"FactoMineR","mortality","The cause of mortality in France in 1979 and 2006"
"FactoMineR","poison","Poison"
"FactoMineR","poison.text","Poison"
"FactoMineR","poulet","Genomic data for chicken"
"FactoMineR","senso","senso"
"FactoMineR","tea","tea (data)"
"FactoMineR","wine","Wine"
"fgsea","exampleExpressionMatrix","Example of expression values obtained for GSE14308."
"fgsea","examplePathways","Example list of mouse Reactome pathways."
"fgsea","exampleRanks","Example vector of gene-level statistics obtained for Th1 polarization."
"forcats","gss_cat","A sample of categorical variables from the General Social survey"
"gapminder","continent_colors","Gapminder color schemes."
"gapminder","country_codes","Country codes"
"gapminder","country_colors","Gapminder color schemes."
"gapminder","gapminder","Gapminder data"
"gapminder","gapminder_unfiltered","Gapminder data, unfiltered."
"GenomeInfoDbData","specData","Species and taxonomy ID look up tables"
"geoR","Ksat","Saturated Hydraulic Conductivity"
"geoR","ca20","Calcium content in soil samples"
"geoR","camg","Calcium and magnesium content in soil samples"
"geoR","elevation","Surface Elevations"
"geoR","gambia","Gambia Malaria Data"
"geoR","gambia.borders (gambia)","Gambia Malaria Data"
"geoR","gambia.map (gambia)","Gambia Malaria Data"
"geoR","head","Head observations in a regional confined aquifer"
"geoR","hoef","Data for spatial analysis of experiments"
"geoR","isaaks","Data from Isaaks and Srisvastava's book"
"geoR","kattegat","Kattegat basin salinity data"
"geoR","landim1","Data from Landim's book"
"geoR","parana","Rainfall Data from Parana State, Brasil"
"geoR","rongelap","Radionuclide Concentrations on Rongelap Island"
"geoR","s100","Simulated Data-Sets which Illustrate the Usage of the Package geoR"
"geoR","s121","Simulated Data-Sets which Illustrate the Usage of the Package geoR"
"geoR","s256i","Simulated Data-Set which Illustrate the Usage of krige.bayes"
"geoR","sic.100 (SIC)","Spatial Interpolation Comparison data"
"geoR","sic.367 (SIC)","Spatial Interpolation Comparison data"
"geoR","sic.all (SIC)","Spatial Interpolation Comparison data"
"geoR","sic.borders (SIC)","Spatial Interpolation Comparison data"
"geoR","sic.some (SIC)","Spatial Interpolation Comparison data"
"geoR","soil250","Soil chemistry properties data set"
"geoR","soja98","Soya bean production and other variables in a uniformity trial"
"geoR","tce","TCE concentrations in groundwater in a vertical cross section"
"geoR","wo","Kriging example data from Webster and Oliver"
"geoR","wolfcamp","Wolfcamp Aquifer Data"
"geoR","wrc","Points of a water retention curve data set"
"GGally","australia_PISA2012","Programme for International Student Assessment (PISA) 2012 Data for Australia"
"GGally","baseball","Yearly batting records for all major league baseball players"
"GGally","flea","Historical data used for classification examples."
"GGally","happy","Data related to happiness from the General Social Survey, 1972-2006."
"GGally","nasa","Data from the Data Expo JSM 2006."
"GGally","pigs","United Kingdom Pig Production"
"GGally","psychademic","UCLA canonical correlation analysis data"
"GGally","tips","Tipping data"
"GGally","twitter_spambots","Twitter spambots"
"ggmap","crime","Crime data"
"ggmap","hadley","Highly unofficial ggplot2 image"
"ggmap","wind","Wind data from Hurricane Ike"
"ggmap","zips","Zip code data for the Greater Houston Metropolitan Area from the 2000 census"
"ggplot2","diamonds","Prices of over 50,000 round cut diamonds"
"ggplot2","economics","US economic time series"
"ggplot2","economics_long","US economic time series"
"ggplot2","faithfuld","2d density estimate of Old Faithful data"
"ggplot2","luv_colours","'colors()' in Luv space"
"ggplot2","midwest","Midwest demographics"
"ggplot2","mpg","Fuel economy data from 1999 to 2008 for 38 popular models of cars"
"ggplot2","msleep","An updated and expanded version of the mammals sleep dataset"
"ggplot2","presidential","Terms of 12 presidents from Eisenhower to Trump"
"ggplot2","seals","Vector field of seal movements"
"ggplot2","txhousing","Housing sales in TX"
"ggpubr","diff_express","Differential gene expression analysis results"
"ggpubr","gene_citation","Gene Citation Index"
"ggpubr","gene_expression","Gene Expression Data"
"ggraph","flare","The class hierarchy of the flare visualization library"
"ggraph","highschool","Friendship among high school boys"
"ggraph","whigs","Membership network of American Whigs"
"ggvis","cocaine","Cocaine seizures in the US."
"glmnet","BinomialExample","Synthetic dataset with binary response"
"glmnet","CoxExample","Synthetic dataset with right-censored survival response"
"glmnet","MultiGaussianExample","Synthetic dataset with multiple Gaussian responses"
"glmnet","MultinomialExample","Synthetic dataset with multinomial response"
"glmnet","PoissonExample","Synthetic dataset with count response"
"glmnet","QuickStartExample","Synthetic dataset with Gaussian response"
"glmnet","SparseExample","Synthetic dataset with sparse design matrix"
"glmnet","beta_CVX (CVXResults)","Simulated data for the glmnet vignette"
"gmp","Oakley1","RFC 2409 Oakley Groups - Parameters for Diffie-Hellman Key Exchange"
"gmp","Oakley2","RFC 2409 Oakley Groups - Parameters for Diffie-Hellman Key Exchange"
"googleVis","Andrew","Hurricane Andrew: googleVis example data set"
"googleVis","Cairo","Daily temperature data for Cairo"
"googleVis","Cats","Cat Search Terms"
"googleVis","CityPopularity","CityPopularity: googleVis example data set"
"googleVis","Exports","Exports: googleVis example data set"
"googleVis","Fruits","Fruits: googleVis example data set"
"googleVis","OpenClose","OpenClose: googleVis example data set"
"googleVis","Population","Population: googleVis example data set"
"googleVis","Regions","Regions: googleVis example data set"
"googleVis","Stock","Stock: googleVis example data set"
"googleVis","dino","Dinosaur data"
"GOSemSim","gotbl","Information content of GO terms"
"GPArotation","Harman8 (Harman)","Example Data from Harman"
"GPArotation","NetherlandsTV (WansbeekMeijer)","Factor Example from Wansbeek and Meijer"
"GPArotation","box20 (Thurstone)","Example Data from Thurstone"
"GPArotation","box26 (Thurstone)","Example Data from Thurstone"
"graphlayouts","metro_berlin","Subway network of Berlin"
"graphlayouts","multilvl_ex","Multilevel example Network"
"hardhat","example_test (hardhat-example-data)","Example data for hardhat"
"hardhat","example_train (hardhat-example-data)","Example data for hardhat"
"htmlTable","SCB","Average age in Sweden"
"impute","khanmiss","Khan microarray data with random missing values"
"infer","gss","Subset of data from the General Social Survey (GSS)."
"interp","akima","Waveform Distortion Data for Bivariate Interpolation"
"interp","akima474","Sample data from Akima's Bicubic Spline Interpolation code (TOMS 474)"
"interp","circtest","circtest / sample data"
"interp","circtest2","circtest / sample data"
"interp","franke","Test datasets from Franke for interpolation of scattered data"
"interp","tritest","tritest / sample data"
"investr","arsenic","Concentrations of arsenic in water samples"
"investr","beetle","Dobson's Beetle Data"
"investr","bladder","Bladder volume data"
"investr","crystal","Crystal weight data"
"investr","nasturtium","Bioassay on Nasturtium"
"investr","whisky","Whisky data"
"ipred","DLBCL","Diffuse Large B-Cell Lymphoma"
"ipred","GlaucomaMVF","Glaucoma Database"
"ipred","Smoking","Smoking Styles"
"ipred","dystrophy","Detection of muscular dystrophy carriers."
"jomo","ExamScores","Exam results for six inner London Education Authorities"
"jomo","JSPmiss","Exam results for six inner London Education Authorities"
"jomo","cldata","A simulated clustered dataset"
"jomo","sldata","A simulated single level dataset"
"jomo","surdata","A simulated dataset with survival data"
"jomo","tldata","A simulated 2-level dataset"
"kSamples","ShorelineFireEMS","Shoreline Fire and EMS Turnout Times"
"laeken","eusilc","Synthetic EU-SILC survey data"
"laeken","ses","Synthetic SES survey data"
"lars","diabetes","Blood and other measurements in diabetics"
"lattice","USMortality","Mortality Rates in US by Cause and Gender"
"lattice","USRegionalMortality","Mortality Rates in US by Cause and Gender"
"lattice","barley","Yield data from a Minnesota barley trial"
"lattice","environmental","Atmospheric environmental conditions in New York City"
"lattice","ethanol","Engine exhaust fumes from burning ethanol"
"lattice","melanoma","Melanoma skin cancer incidence"
"lattice","singer","Heights of New York Choral Society singers"
"lava","bmd","Longitudinal Bone Mineral Density Data (Wide format)"
"lava","bmidata","Data"
"lava","brisa","Simulated data"
"lava","calcium","Longitudinal Bone Mineral Density Data"
"lava","hubble","Hubble data"
"lava","hubble2","Hubble data"
"lava","indoorenv","Data"
"lava","missingdata","Missing data example"
"lava","nldata","Example data (nonlinear model)"
"lava","nsem","Example SEM data (nonlinear)"
"lava","semdata","Example SEM data"
"lava","serotonin","Serotonin data"
"lava","serotonin2","Data"
"lava","twindata","Twin menarche data"
"leaflet","atlStorms2005","Atlantic Ocean storms 2005"
"leaflet","breweries91","Selected breweries in Franconia"
"leaflet","gadmCHE","Administrative borders of Switzerland (level 1)"
"likert","MathAnxiety","Pre-summarized results from an administration of the Math Anxiety Scale Survey."
"likert","MathAnxietyGender","Pre-summarized results from an administration of the Math Anxiety Scale Survey grouped by gender."
"likert","gap","Fictitious dataset with importance and satisfaction results across five different offices."
"likert","mass","Results from an administration of the Math Anxiety Scale Survey."
"likert","pisaitems","Programme of International Student Assessment"
"likert","sasr","Results from the Survey of Academic Self-Regulation (SASR)."
"lme4","Arabidopsis","Arabidopsis clipping/fertilization data"
"lme4","Dyestuff","Yield of dyestuff by batch"
"lme4","Dyestuff2","Yield of dyestuff by batch"
"lme4","InstEval","University Lecture/Instructor Evaluations by Students at ETH"
"lme4","Pastes","Paste strength by batch and cask"
"lme4","Penicillin","Variation in penicillin testing"
"lme4","VerbAgg","Verbal Aggression item responses"
"lme4","cake","Breakage Angle of Chocolate Cakes"
"lme4","cbpp","Contagious bovine pleuropneumonia"
"lme4","grouseticks","Data on red grouse ticks from Elston et al. 2001"
"lme4","grouseticks_agg (grouseticks)","Data on red grouse ticks from Elston et al. 2001"
"lme4","sleepstudy","Reaction times in a sleep deprivation study"
"lmtest","ChickEgg","Chickens, Eggs, and Causality"
"lmtest","Mandible","Mandible Data"
"lmtest","USDistLag","US Macroeconomic Data"
"lmtest","bondyield","Bond Yield"
"lmtest","currencysubstitution","Currency Substitution"
"lmtest","ftemp","Femal Temperature Data"
"lmtest","fyff","U.S. Macroeconomic Time Series"
"lmtest","gmdc","U.S. Macroeconomic Time Series"
"lmtest","growthofmoney","Growth of Money Supply"
"lmtest","ip","U.S. Macroeconomic Time Series"
"lmtest","jocci","U.S. Macroeconomic Time Series"
"lmtest","lhur","U.S. Macroeconomic Time Series"
"lmtest","moneydemand","Money Demand"
"lmtest","pw561","U.S. Macroeconomic Time Series"
"lmtest","unemployment","Unemployment Data"
"lmtest","valueofstocks","Value of Stocks"
"lmtest","wages","Wages"
"locfit","ais","Australian Institute of Sport Dataset"
"locfit","bad","Example dataset for bandwidth selection"
"locfit","border","Cricket Batting Dataset"
"locfit","chemdiab","Chemical Diabetes Dataset"
"locfit","claw54","Claw Dataset"
"locfit","cldem","Example data set for classification"
"locfit","cltest","Test dataset for classification"
"locfit","cltrain","Training dataset for classification"
"locfit","co2","Carbon Dioxide Dataset"
"locfit","diab","Exhaust emissions"
"locfit","ethanol","Exhaust emissions"
"locfit","geyser","Old Faithful Geyser Dataset"
"locfit","geyser.round","Discrete Old Faithful Geyser Dataset"
"locfit","heart","Survival Times of Heart Transplant Recipients"
"locfit","insect","Insect Dataset"
"locfit","iris","Fisher's Iris Data (subset)"
"locfit","kangaroo","Kangaroo skull measurements dataset"
"locfit","livmet","liver Metastases dataset"
"locfit","mcyc","Acc(De?)celeration of a Motorcycle Hitting a Wall"
"locfit","mine","Fracture Counts in Coal Mines"
"locfit","mmsamp","Test dataset for minimax Local Regression"
"locfit","morths","Henderson and Sheppard Mortality Dataset"
"locfit","penny","Penny Thickness Dataset"
"locfit","spencer","Spencer's Mortality Dataset"
"locfit","stamp","Stamp Thickness Dataset"
