"","Id","AgeReviewer","GenderReviewer","RevRating","RevType","RevLen","WordCount","AvgWordLen","SentiG2","SentiG3","SentiGPol","SentiGSub","SentiR2","SentiR3","SentiRPol","App","AppCat","nReviews","nInstalls","ContRating","lRevLen","AppRating"
"1146",5031,NA,NA,4.35,"Long",344,50,3.11784497726047,"Positive","Neutral",0.178111102161864,0.580540633620922,"Positive","Positive",-0.477586248387225,"COOKING MAMA Lets Cook","FAMILY",687977,"10000000+","Teen",5.84354441703136,4.47
"1156",5483,NA,NA,4.49,"Long",115,19,3.27140365373913,"Positive","Neutral",-0.362715984244388,0.573184635132782,"Positive","Positive",-0.310934393297467,"Candy Crush Soda Saga","GAME",1415961,"100000000+","Teen",4.75359019110636,4.7
"1163",976,NA,NA,4.32,"Short",28,5,3.68794688647143,"Positive","Positive",0.209825613534137,0.567092976832094,"Negative","Negative",-0.299949445359963,"Even organize your money get paid early","FINANCE",4882,"100000+","Teen",3.36729582998647,4.48
"1170",3718,NA,NA,4.1,"Long",156,23,3.14484446761163,"Negative","Neutral",0.423742933318265,0.469726368904882,"Negative","Neutral",-0.00352330846582187,"Bank of America Mobile Banking","FINANCE",146914,"10000000+","Teen",5.05624580534831,4.73
"1172",2903,NA,NA,4.35,"Long",76,15,3.4004640429871,"Negative","Neutral",0.359512327842763,0.659767572116996,"Negative","Neutral",-0.663568972990982,"Experian Free Credit Report","FINANCE",57435,"1000000+","Teen",4.34380542185368,4.69
"1174",1735,NA,NA,4.29,"Short",51,7,3.75296044798431,"Positive","Neutral",-0.262185342774587,0.679282930778236,"Negative","Neutral",-0.0732734684560127,"Bubble Shooter","GAME",16881,"10000000+","Teen",3.95124371858143,4.68
"1182",1714,NA,NA,4.35,"Short",58,6,3.70546785331429,"Negative","Negative",0.347027587807615,0.50566761456839,"Negative","Negative",-0.285268029824259,"Bubble Shooter","GAME",16491,"10000000+","Teen",4.07753744390572,4.68
"1195",2790,NA,NA,4.5,"Short",78,9,3.71860143064615,"Positive","Positive",-0.364887936114114,0.712611449443337,"Positive","Neutral",-0.171909776417446,"Doctor Pets","FAMILY",50207,"1000000+","Mature",4.36944785246702,4.52
"1199",3367,NA,NA,4.47,"Short",29,5,4.19221658336364,"Negative","Neutral",-0.573448041854628,0.297235163795427,"Negative","Neutral",0.42728681247125,"Dominos Game вп","FAMILY",81411,"1000000+","Teen",3.40119738166216,4.54
"1200",6098,NA,NA,4.38,"Short",85,13,3.12099175657647,"Positive","Positive",-0.123609387806424,0.552860151739659,"Positive","Positive",-0.482076508250886,"Fruits Bomb","GAME",3981876,"10000000+","Mature",4.45434729625351,4.36
"1216",1132,NA,NA,4.51,"Long",155,20,3.2505488579931,"Negative","Negative",0.40054202247866,0.412651292236626,"Negative","Negative",-0.0706743394560279,"Candy Pop Story","FAMILY",6535,"1000000+","Teen",5.04985600724954,4.62
"1220",4623,NA,NA,3.98,"Long",322,59,2.91021124131672,"Negative","Negative",-0.268515078979316,0.566462719032587,"Positive","Neutral",0.729714632758407,"Dog Run Pet Dog Simulator","GAME",353155,"10000000+","Mature",5.77765232322266,4.52
"1225",2890,NA,NA,4.26,"Short",94,12,3.45324875744706,"Negative","Negative",0.279142192701004,0.629274432422552,"Negative","Neutral",0.372027416318533,"Experian Free Credit Report","FINANCE",56651,"1000000+","Teen",4.55387689160054,4.69
"1232",1702,NA,NA,4.51,"Short",68,9,3.88612461306471,"Positive","Positive",-0.601450298144048,0.731416690886265,"Negative","Neutral",0.410642603784377,"Bubble Shooter","GAME",16334,"10000000+","Teen",4.23410650459726,4.68
"1236",1022,69,"Female",4.59,"Short",101,11,3.35648930649091,"Negative","Negative",-0.203349310911764,0.351031771673618,"Negative","Negative",-0.667151542251868,"Coloring Learn","FAMILY",5328,"5000000+","Teen",4.62497281328427,4.77
"1248",2782,NA,NA,4.31,"Short",63,10,3.06803811439048,"Positive","Neutral",-0.0188399888825967,0.309151494220171,"Negative","Neutral",-0.131166252038459,"Doctor Pets","FAMILY",49756,"1000000+","Teen",4.15888308335967,4.52
"1251",2205,NA,NA,4.32,"Long",106,16,3.19575634697544,"Negative","Negative",-0.611510479669293,0.441273113348968,"Negative","Neutral",-0.125292256352695,"Flip the Gun Simulator Game","GAME",28503,"10000000+","Mature",4.67282883446191,4.7
"1264",717,NA,NA,4.48,"Short",59,8,3.12983929906383,"Negative","Negative",0.091486165210004,0.271954242255016,"Negative","Negative",0.470607883977684,"Educational Games  Kids","FAMILY",2900,"5000000+","Mature",4.0943445622221,4.52
"1279",741,NA,NA,4.25,"Long",118,17,3.31184655592,"Negative","Negative",-0.0612298536820722,0.465954331876427,"Negative","Negative",-0.110957496192401,"Bad Piggies","FAMILY",3839,"50000000+","Mature",4.77912349311153,4.56
"1284",4118,63,"Female",4.65,"Short",45,10,3.29948706513771,"Negative","Negative",-0.267744559187849,0.467797992409948,"Positive","Neutral",-0.282541043837841,"Equestria Girls","FAMILY",219691,"10000000+","Teen",3.8286413964891,4.51
"1285",2036,NA,NA,4.31,"Short",63,10,3.54539795349091,"Negative","Negative",-0.468718087668048,0.340982406339826,"Negative","Neutral",0.138634663751447,"Comptia A 220901 220902","FAMILY",17229,"10000+","Teen",4.15888308335967,4.55
"1296",5155,NA,NA,4.34,"Short",57,5,4.39885326095,"Negative","Negative",0.0278059860902238,0.257250906846669,"Positive","Neutral",-0.133497798858151,"Angry Birds Classic","GAME",891428,"100000000+","Teen",4.06044301054642,4.5
"1301",98,NA,NA,4.45,"Short",8,4,4.09530634258095,"Negative","Negative",-0.06596969397158,0.666652680904584,"Negative","Negative",0.464955485384814,"Hello Stars","GAME",254,"10000000+","Mature",2.19722457733622,4.71
"1314",850,NA,NA,4.34,"Long",125,21,3.03343104094118,"Negative","Negative",-0.0703857501475206,0.66990616340825,"Negative","Negative",0.329572838553692,"Baby puzzles","FAMILY",3848,"5000000+","Mature",4.83628190695148,4.31
"1317",577,NA,NA,4.47,"Long",214,34,3.11345083053171,"Negative","Negative",0.358881558979713,0.322351973880853,"Negative","Negative",0.175815714983513,"Blossom Blast Saga","GAME",2734,"10000000+","Teen",5.37063802812766,4.37
"1319",5350,NA,NA,4.43,"Short",33,6,3.9940367567561,"Negative","Neutral",-0.269314523670048,0.250079028685218,"Positive","Neutral",-0.600595381608708,"GoBank","FINANCE",809762,"500000+","Teen",3.52636052461616,4.55
"1320",251,NA,NA,4.48,"Long",137,23,2.98579602427883,"Positive","Positive",0.498048213920441,0.58537965746209,"Negative","Negative",-0.601780248002453,"H TV","FAMILY",818,"5000000+","Mature",4.92725368515721,4.45
"1332",4725,NA,NA,4.35,"Long",174,26,3.29086581921839,"Positive","Positive",-0.017835596060102,0.670480423196398,"Positive","Positive",0.162170036472841,"Fortune City A Finance App","FINANCE",402453,"500000+","Teen",5.16478597392351,4.83
"1337",4768,56,"Male",4.4,"Short",103,14,3.28519529955922,"Positive","Positive",-0.0700163943119923,0.604966414496101,"Positive","Positive",0.370541478985301,"ABCmousecom","FAMILY",425913,"5000000+","Teen",4.64439089914137,4.85
"1346",3744,NA,NA,4.23,"Long",200,32,3.0583448945,"Positive","Positive",0.484563224266108,0.446711394443603,"Positive","Neutral",0.0675945603736988,"Bank of America Mobile Banking","FINANCE",150262,"10000000+","Mature",5.30330490805908,4.73
"1353",1295,49,"Female",4.66,"Short",90,13,3.29711591104176,"Negative","Negative",-0.110588026202711,0.382385028050624,"Negative","Negative",-0.79062207451692,"Four In A Line Free","GAME",9275,"5000000+","Teen",4.51085950651685,4.43
"1384",1681,NA,NA,4.38,"Short",94,14,3.41754583735752,"Negative","Neutral",-0.0427795242383054,0.487811256032348,"Negative","Negative",0.250590293863038,"Helix Jump","GAME",17917,"100000000+","Teen",4.55387689160054,4.37
"1393",5604,NA,NA,4.31,"Short",34,5,3.57980344844706,"Positive","Positive",-0.12946975400456,0.785046172494142,"Positive","Positive",0.19859933572418,"BZWBK2 mobile","FINANCE",1376142,"1000000+","Mature",3.55534806148941,4.68
"1396",3019,38,"Female",4.44,"Short",50,4,4.40438189635294,"Negative","Negative",0.442663664908056,0.507910399621339,"Negative","Neutral",-0.269688458918452,"Amex Mobile","FINANCE",64545,"1000000+","Mature",3.93182563272433,4.51
"1397",4717,NA,NA,4.28,"Long",156,26,3.14458334515897,"Positive","Positive",-0.871208838285672,0.430639989637363,"Positive","Neutral",0.193751654020459,"Fortune City A Finance App","FINANCE",399341,"500000+","Mature",5.05624580534831,4.83
"1399",4101,36,"Male",4.56,"Short",74,11,3.202578414,"Negative","Negative",-0.261447695659746,0.378120245133174,"Positive","Neutral",0.20101191726606,"Equestria Girls","FAMILY",217088,"10000000+","Teen",4.31748811353631,4.51
"1406",1562,74,"Male",4.41,"Long",162,25,2.94190930852258,"Negative","Negative",0.649720868354367,0.495439962208762,"Negative","Negative",-0.17144991353381,"Baseball Boy","GAME",13384,"10000000+","Mature",5.09375020080676,4.55
"1421",27,NA,NA,4.15,"Short",27,4,4.23477745387143,"Negative","Negative",-0.319509138270373,0.136664620942706,"Negative","Negative",-0.396100382578922,"Hay Day","FAMILY",78,"100000000+","Mature",3.3322045101752,4.52
"1429",4291,NA,NA,4.45,"Short",71,11,3.430259438875,"Negative","Neutral",0.190291435501807,0.368705194848626,"Positive","Neutral",-0.12173639993793,"Extreme Racing 2 Real driving RC cars game","FAMILY",218523,"500000+","Teen",4.27666611901606,4.52
"1433",5686,NA,NA,4.55,"Short",57,8,3.51112694751228,"Positive","Neutral",0.0504074541097458,0.600582745148335,"Positive","Positive",-0.299573774145424,"Current debit card and app made for teens","FINANCE",1290062,"50000+","Teen",4.06044301054642,4.62
"1451",3262,NA,NA,4.37,"Long",101,17,3.02827915611881,"Positive","Positive",0.177521254570954,0.594763831566098,"Positive","Neutral",-0.0543027021772331,"CreditWise from Capital One","FINANCE",81524,"1000000+","Teen",4.62497281328427,4.32
"1454",5504,NA,NA,4.53,"Long",639,101,3.03249499385008,"Positive","Positive",-0.0198700223726693,0.830195554295045,"Positive","Positive",0.469502181962477,"Candy Crush Soda Saga","GAME",1483579,"100000000+","Teen",6.46146817635372,4.7
"1460",6419,75,"Male",4.4,"Long",347,57,2.84169963849337,"Positive","Positive",0.492137918494094,0.801311345036125,"Positive","Positive",0.379868622006965,"Color Road","GAME",11538881,"10000000+","Teen",5.85220247977447,4.27
"1463",582,46,"Female",4.38,"Long",266,48,3.0593798506214,"Negative","Negative",0.185689660772235,0.459747645270627,"Negative","Negative",0.24411049552669,"Blossom Blast Saga","GAME",2759,"10000000+","Teen",5.58724865840025,4.37
"1466",759,NA,NA,4.26,"Long",158,19,3.20419109222353,"Negative","Negative",0.221551430641301,0.5296136429545,"Negative","Negative",-0.429214104324347,"Bad Piggies","FAMILY",4014,"50000000+","Mature",5.06890420222023,4.56
"1479",4776,21,"Female",4.35,"Short",89,13,3.47178663174694,"Negative","Neutral",0.259982916029107,0.549735261764698,"Positive","Neutral",-0.22413843642924,"ABCmousecom","FAMILY",427109,"5000000+","Mature",4.49980967033027,4.85
"1480",3693,NA,NA,4.37,"Long",123,18,3.27692582667826,"Negative","Negative",-0.364260442211149,0.395894386895389,"Positive","Neutral",0.192489034217762,"Dr Panda Totos Treehouse","FAMILY",113919,"50000+","Teen",4.82028156560504,4.5
"1481",824,NA,NA,4.18,"Short",62,14,3.17838216910141,"Negative","Negative",-0.166016373730238,0.466101009803696,"Negative","Negative",-0.0984370925032941,"Candy Day","FAMILY",3587,"1000000+","Teen",4.14313472639153,4.67
"1493",752,NA,NA,4.4,"Short",53,13,3.26335173709589,"Negative","Negative",0.595812033069441,0.464620505610424,"Negative","Negative",-0.475604774333417,"Bad Piggies","FAMILY",3962,"50000000+","Mature",3.98898404656427,4.56
"1500",3798,NA,NA,4.21,"Short",53,9,3.3981677812,"Negative","Negative",-0.0202914853824528,0.556429094318621,"Negative","Neutral",0.696629969183397,"Cooking Madness A Chefs Restaurant Games","GAME",158368,"10000000+","Teen",3.98898404656427,4.4
"1506",3754,43,"Female",4.48,"Long",235,31,3.01803541885845,"Negative","Negative",-0.611189068331566,0.628094977976379,"Negative","Neutral",-0.373695373473051,"Hide App Private Dating Safe Chat PrivacyHider","DATING",134881,"1000000+","Teen",5.46383180502561,4.57
"1513",4835,NA,NA,4.33,"Short",66,7,3.8503885624,"Negative","Negative",-0.450038740923482,0.370232804920071,"Positive","Neutral",0.0750134577253353,"Altos Adventure","GAME",516619,"10000000+","Mature",4.20469261939097,4.63
"1518",1155,18,"Female",4.28,"Long",251,33,3.15185215433178,"Negative","Negative",0.450663925833791,0.707052693812884,"Negative","Negative",-0.567341331722106,"Candy Pop Story","FAMILY",6738,"1000000+","Mature",5.52942908751142,4.62
"1528",3350,NA,NA,4.36,"Short",51,5,3.88110158933333,"Negative","Negative",0.0675640072675534,0.178717692379551,"Negative","Neutral",0.0348317405244775,"Dominos Game вп","FAMILY",80256,"1000000+","Teen",3.95124371858143,4.54
"1543",427,29,"Male",4.26,"Long",129,17,3.40013708601527,"Negative","Negative",-0.306614359307601,0.519906452523102,"Negative","Negative",-0.196651875421305,"Battlelands Royale","GAME",1557,"1000000+","Mature",4.86753445045558,4.61
"1545",2807,NA,NA,4.32,"Long",297,42,2.95974357106087,"Negative","Negative",0.272297746733143,0.646750743268309,"Negative","Neutral",0.236304291646036,"Clash Royale","FAMILY",72823,"100000000+","Mature",5.6970934865054,4.47
"1553",4530,NA,NA,4.04,"Long",113,15,3.37517316178261,"Negative","Negative",0.362696283445345,0.560092230488184,"Positive","Neutral",-0.485060770468395,"Clash of Clans","FAMILY",436600,"100000000+","Mature",4.7361984483945,4.44
"1554",1318,NA,NA,3.95,"Short",83,14,3.07576575693979,"Negative","Negative",-0.143345338882559,0.420517724461937,"Negative","Negative",-0.218437762063267,"Cat Sim Online Play with Cats","FAMILY",9604,"5000000+","Mature",4.43081679884331,4.56
"1556",3792,23,"Female",4.4,"Short",34,6,3.74430848990476,"Negative","Neutral",0.41255253378106,0.259888630611713,"Positive","Neutral",0.0238433117371131,"Dragon Hills","GAME",157276,"10000000+","Mature",3.55534806148941,4.45
"1560",1338,NA,NA,4.2,"Long",103,20,3.18233716712069,"Negative","Negative",0.46645175439139,0.456203856661882,"Negative","Negative",-0.164679669836014,"Cat Sim Online Play with Cats","FAMILY",9842,"5000000+","Mature",4.64439089914137,4.56
"1568",2818,33,"Female",4.52,"Long",273,44,2.86298468512877,"Negative","Negative",-0.163846817501977,0.523620827976976,"Negative","Neutral",-0.49295580505218,"Clash Royale","FAMILY",73667,"100000000+","Mature",5.61312810638807,4.47
"1571",1343,43,"Female",4.37,"Long",120,16,3.26634410675,"Positive","Neutral",-0.0416408825273967,0.647317842957385,"Negative","Neutral",-0.45669919713884,"Cat Sim Online Play with Cats","FAMILY",9945,"5000000+","Mature",4.79579054559674,4.56
"1574",4524,NA,NA,4.56,"Short",121,12,3.72943476398519,"Negative","Negative",-0.505680640980859,0.527726457989706,"Positive","Neutral",-0.120104627730435,"Clash of Clans","FAMILY",435950,"100000000+","Mature",4.80402104473326,4.44
"1575",2881,NA,NA,4.38,"Short",102,13,3.49505310888506,"Negative","Negative",-0.357976364300062,0.425498621390277,"Negative","Neutral",-0.252994140462053,"Clash Royale","FAMILY",79529,"100000000+","Mature",4.63472898822964,4.47
"1578",2806,NA,NA,4.47,"Long",268,38,3.1645236845037,"Negative","Negative",0.107599666845416,0.543524121057455,"Negative","Neutral",-0.629590079775679,"Clash Royale","FAMILY",72609,"100000000+","Mature",5.59471137960184,4.47
"1580",408,NA,NA,4.28,"Short",94,13,3.32780026386316,"Negative","Negative",-0.655197789424381,0.409360723661655,"Negative","Negative",-0.00437168435943917,"Battlelands Royale","GAME",1473,"1000000+","Mature",4.55387689160054,4.61
"1588",426,NA,NA,4.25,"Short",95,11,3.61302982141348,"Negative","Negative",-0.201264345189427,0.443471799653564,"Negative","Negative",-0.642345796582505,"Battlelands Royale","GAME",1552,"1000000+","Mature",4.56434819146784,4.61
"1590",4527,NA,NA,4.29,"Short",50,12,3.32916941245625,"Negative","Negative",-0.0938521888405121,0.521138111134228,"Positive","Neutral",0.460273717207718,"Clash of Clans","FAMILY",436159,"100000000+","Mature",3.93182563272433,4.44
"1592",380,34,"Female",4.43,"Long",93,15,3.18169889613465,"Negative","Negative",-0.0689203141613288,0.404566374981968,"Negative","Negative",-0.315945212238393,"Battlelands Royale","GAME",1361,"1000000+","Mature",4.54329478227,4.61
"1612",5964,NA,NA,4.34,"Long",202,27,3.10175990891089,"Positive","Positive",-0.339365007191094,0.658761975049106,"Positive","Positive",0.171044588706512,"Chapters Interactive Stories","GAME",2925143,"1000000+","Everyone 10+",5.31320597904179,4.53
"1624",675,NA,NA,4.35,"Short",42,7,3.80788530871579,"Negative","Negative",0.0358694325686801,0.376873487991511,"Negative","Negative",0.0352428215837396,"Free Dating Hook Up Messenger","DATING",2374,"100000+","Everyone 10+",3.76120011569356,4.58
"1626",6544,NA,NA,4.59,"Long",114,17,3.25326114757895,"Positive","Positive",0.273444889263797,0.82186205136816,"Positive","Positive",0.802679347513169,"BiggerCity Chat for gay bears chubs chasers","DATING",20273438,"100000+","Everyone 10+",4.74493212836325,4.57
"1628",6015,NA,NA,4.37,"Short",86,13,3.57208459540465,"Positive","Positive",0.375182576781684,0.497643887235337,"Positive","Positive",0.132385615070995,"Herpes Dating 1000K Singles","DATING",2616918,"10000+","Everyone 10+",4.46590811865458,4.63
"1631",991,NA,NA,4.17,"Short",73,9,3.79160257733333,"Negative","Negative",0.173421433632736,0.436939235615211,"Negative","Negative",-0.138514270610325,"BBW Dating Plus Size Chat","DATING",5027,"1000000+","Everyone 10+",4.30406509320417,4.77
"1645",6561,66,"Female",4.55,"Short",76,10,3.5746469864,"Positive","Positive",-0.0679233595388861,0.491926348303248,"Positive","Positive",0.479863746760066,"BiggerCity Chat for gay bears chubs chasers","DATING",23017576,"100000+","Everyone 10+",4.34380542185368,4.57
"1646",2935,NA,NA,4.39,"Short",79,11,3.56292514987222,"Negative","Negative",-0.168268895113416,0.459514537513578,"Negative","Neutral",-0.120202819894004,"BBWCupid BBW Dating App","DATING",47218,"50000+","Everyone 10+",4.38202663467388,4.66
"1651",3101,59,"Female",4.23,"Long",92,16,3.1832304705087,"Positive","Neutral",0.50316808996888,0.704047309301004,"Positive","Neutral",-0.0565932980072686,"Hily Dating Chat Match Meet Hook up","DATING",62318,"100000+","Everyone 10+",4.53259949315326,4.7
"1653",5577,NA,NA,4.29,"Long",116,19,3.3094554190069,"Positive","Neutral",0.140202684482997,0.40941611102444,"Positive","Positive",-0.275191497435619,"ChatVideo Meet new people","DATING",1328069,"5000000+","Everyone 10+",4.76217393479776,4.42
"1659",5584,NA,NA,4.3,"Long",214,29,3.25499489059439,"Positive","Neutral",0.735492907770126,0.536886271842557,"Positive","Positive",0.0853089632887218,"ChatVideo Meet new people","DATING",1344383,"5000000+","Everyone 10+",5.37063802812766,4.42
"1664",2732,NA,NA,4.44,"Long",98,15,3.39418076013333,"Negative","Negative",-0.47333377346379,0.332557997123876,"Negative","Neutral",-0.213231370344852,"FastMeet Chat Dating Love","DATING",46895,"1000000+","Everyone 10+",4.59511985013459,4.56
"1667",4272,NA,NA,4.62,"Short",47,7,3.48140130313617,"Positive","Positive",0.696761406555817,0.685341398162998,"Positive","Positive",0.404664100753315,"2Date Dating App Love and matching","DATING",239184,"500000+","Everyone 10+",3.87120101090789,4.82
"1670",2355,NA,NA,4.36,"Short",21,5,4.22850849065714,"Negative","Negative",-0.0692375558080659,0.62657673164886,"Negative","Neutral",-0.399110656620868,"BLK Swipe Match Chat","DATING",27186,"100000+","Everyone 10+",3.09104245335832,4.55
"1677",2230,NA,NA,4.43,"Short",105,12,3.38603904767805,"Negative","Negative",0.306119335696473,0.472625182664272,"Negative","Negative",-0.298770735685154,"Herpes Positive Singles Dating","DATING",20819,"10000+","Everyone 10+",4.66343909411207,4.45
"1681",2574,NA,NA,4.34,"Short",38,5,4.02307231983158,"Positive","Neutral",-0.312299978482007,0.571675210371508,"Negative","Neutral",0.280294341670292,"Gay Sugar Daddy Dating Hookup ?Sudy Gay","DATING",35260,"100000+","Everyone 10+",3.66356164612965,4.44
"1710",138,NA,NA,4.31,"Short",80,14,3.21667006126512,"Negative","Negative",0.213887387389166,0.522639522006318,"Negative","Negative",-0.866539659742453,"Black People Meet Singles Date","DATING",336,"1000000+","Everyone 10+",4.39444915467244,4.6
"1714",6560,NA,NA,4.49,"Short",71,9,3.80958414784507,"Positive","Positive",-0.298933082273782,0.529113271643835,"Positive","Positive",-0.245289276583752,"BiggerCity Chat for gay bears chubs chasers","DATING",22677500,"100000+","Everyone 10+",4.27666611901606,4.57
"1717",5090,NA,NA,4.39,"Long",111,20,2.98765137530811,"Positive","Neutral",0.237247221903444,0.53133426548582,"Positive","Neutral",-0.270652185230725,"Garena Free Fire","GAME",837252,"100000000+","Everyone",4.71849887129509,4.63
"1718",6025,NA,NA,4.23,"Long",198,27,3.06520601806061,"Positive","Neutral",-0.268571887049323,0.459956487781699,"Positive","Positive",-0.112178724907946,"FINAL FANTASY BRAVE EXVIUS","GAME",3780643,"5000000+","Everyone",5.29330482472449,4.45
"1721",2077,66,"Female",4.4,"Long",153,21,3.31376144093151,"Negative","Negative",0.122296835460515,0.564848778344287,"Negative","Negative",-0.109403785485199,"Akinator","FAMILY",28520,"50000000+","Everyone",5.03695260241363,4.44
"1723",6601,NA,NA,4.2,"Long",298,31,3.35384747402238,"Negative","Negative",-0.452404163619419,0.615413816500545,"Positive","Positive",0.240153460565308,"DEER HUNTER 2018","GAME",53602706,"10000000+","Everyone",5.70044357339069,4.78
"1736",1086,67,"Male",4.42,"Long",207,24,3.19809209569462,"Negative","Negative",0.297032581384674,0.584040984435034,"Negative","Negative",0.176530177822619,"Avakin Life 3D virtual world","FAMILY",7580,"10000000+","Everyone",5.33753807970132,4.41
"1741",585,NA,NA,4.57,"Long",394,58,3.05458326072771,"Negative","Negative",-0.0940410339414838,0.510429992231935,"Negative","Negative",-0.150114881281957,"Granny","GAME",2773,"50000000+","Everyone",5.97888576490112,4.44
"1747",5281,33,"Female",4.3,"Long",126,16,3.36646115653077,"Negative","Negative",-0.599093849832718,0.454612081678408,"Positive","Positive",0.735597670870808,"Honkai Impact 3rd","GAME",828658,"1000000+","Everyone",4.84418708645859,4.57
"1748",6286,NA,NA,4.36,"Short",57,8,3.61717532405263,"Positive","Positive",-0.363008079206543,0.674452532173508,"Positive","Positive",0.0589710791838172,"Choices Stories You Play","FAMILY",7376054,"10000000+","Everyone",4.06044301054642,4.43
"1761",5265,NA,NA,4.58,"Short",88,12,3.59839760763291,"Negative","Negative",0.420459060814215,0.473467318750658,"Positive","Neutral",0.447415757171918,"Honkai Impact 3rd","GAME",813640,"1000000+","Everyone",4.48863636973214,4.57
"1762",3592,NA,NA,4.26,"Long",257,36,3.3344056624029,"Negative","Neutral",0.219215739398064,0.700614792181143,"Positive","Neutral",-0.00308676517310894,"DRAGON BALL LEGENDS","GAME",130735,"5000000+","Everyone",5.55295958492162,4.64
"1765",4748,NA,NA,4.35,"Short",22,4,3.72613914996364,"Positive","Positive",-0.42243706698221,0.625712130122822,"Positive","Positive",0.132318026824199,"95Live SG1 Live Streaming App","DATING",371425,"1000000+","Everyone",3.13549421592915,4.49
"1767",3612,NA,NA,4.36,"Long",465,62,3.19615468875678,"Negative","Neutral",0.601846142452519,0.589074979143347,"Positive","Neutral",0.471966629936222,"DRAGON BALL LEGENDS","GAME",132889,"5000000+","Everyone",6.14418563412565,4.64
"1769",2140,51,"Male",4.55,"Short",47,8,3.77729749627213,"Negative","Negative",-0.181034751883316,0.405625353494957,"Negative","Neutral",0.16090738361187,"Grim Soul Dark Fantasy Survival","GAME",27054,"5000000+","Everyone",3.87120101090789,4.61
"1774",6374,NA,NA,4.58,"Long",248,29,3.35073135873548,"Positive","Positive",0.162852429480515,0.734678085970141,"Positive","Positive",0.152299816323379,"Asphalt 8 Airborne","GAME",11877979,"100000000+","Everyone",5.51745289646471,4.35
"1780",1963,NA,NA,4.53,"Short",30,3,4.63635742644444,"Negative","Negative",-0.30930122672831,0.387446359413531,"Negative","Neutral",0.269738023930501,"Gems or jewels ","GAME",22240,"10000000+","Everyone",3.43398720448515,4.76
"1782",610,18,"Female",4.53,"Long",639,87,2.95781357769106,"Negative","Negative",0.00280496805418106,0.474484611764924,"Negative","Negative",-0.280156208618064,"Granny","GAME",2925,"50000000+","Everyone",6.46146817635372,4.44
"1785",1497,32,"Female",4.29,"Short",72,10,3.50244212306207,"Negative","Negative",0.0639993551684497,0.37709161599406,"Negative","Negative",-0.0584333005819399,"DINO HUNTER DEADLY SHORES","GAME",13660,"10000000+","Everyone",4.29045944114839,4.54
"1788",1097,NA,NA,4.49,"Long",128,18,3.28938986050704,"Negative","Negative",-0.249516575057497,0.487506568245059,"Negative","Negative",-0.152138080191787,"Avakin Life 3D virtual world","FAMILY",7747,"10000000+","Everyone",4.85981240436167,4.41
"1790",3309,NA,NA,4.31,"Long",344,50,3.22551004766046,"Positive","Neutral",0.594590623841655,0.653604606272272,"Negative","Neutral",0.415864714770877,"Fallout Shelter","GAME",107968,"10000000+","Everyone",5.84354441703136,4.28
"1791",6281,49,"Female",4.49,"Long",389,52,3.07824386427937,"Negative","Neutral",0.240457538400237,0.530645810222194,"Positive","Positive",-0.0728105396480211,"Choices Stories You Play","FAMILY",7332157,"10000000+","Everyone",5.96614673912369,4.43
"1795",2161,62,"Male",4.29,"Short",74,9,3.53743695187368,"Negative","Negative",0.607967117575914,0.395637275199649,"Negative","Negative",-0.631641609852911,"Grim Soul Dark Fantasy Survival","GAME",27538,"5000000+","Everyone",4.31748811353631,4.61
"1800",5107,34,"Male",4.63,"Long",111,19,3.28884796192072,"Positive","Positive",0.148172231490645,0.605342680217584,"Positive","Positive",0.0271973693751531,"Garena Free Fire","GAME",853485,"100000000+","Everyone",4.71849887129509,4.63
"1803",6291,NA,NA,4.37,"Short",71,11,3.5961312402,"Positive","Neutral",0.105445013966201,0.534309176258325,"Positive","Positive",-0.0992095122787693,"Choices Stories You Play","FAMILY",7451340,"10000000+","Everyone",4.27666611901606,4.43
"1804",2083,NA,NA,4.48,"Long",157,22,3.18900829823014,"Negative","Negative",-0.256352735820415,0.431397550197535,"Negative","Negative",0.171315475437929,"Akinator","FAMILY",28652,"50000000+","Everyone",5.06259503302697,4.44
"1821",2150,25,"Female",4.49,"Short",40,9,3.48144889835319,"Negative","Negative",-0.0476743993831121,0.444472111187742,"Negative","Neutral",-0.238394073983905,"Grim Soul Dark Fantasy Survival","GAME",27236,"5000000+","Everyone",3.71357206670431,4.61
"1828",5834,22,"Male",4.44,"Long",147,18,3.24910423104615,"Negative","Negative",0.216441207028125,0.592951664149835,"Positive","Positive",0.311477276329115,"Hero Hunters","GAME",2122746,"5000000+","Everyone",4.99721227376411,4.7
"1829",2456,NA,NA,4.57,"Long",214,31,3.2306220464718,"Negative","Negative",0.393952151796994,0.555084147122004,"Negative","Neutral",-0.488155456084889,"GUNSHIP BATTLE Helicopter 3D","GAME",42868,"50000000+","Everyone",5.37063802812766,4.71
"1832",2463,NA,NA,4.45,"Long",147,23,3.14685961210602,"Negative","Negative",0.739565513766348,0.431766712413234,"Negative","Neutral",-0.407168479471956,"GUNSHIP BATTLE Helicopter 3D","GAME",43124,"50000000+","Everyone",4.99721227376411,4.71
"1834",1972,59,"Female",4.5,"Short",65,6,4.17766611458431,"Negative","Negative",0.992404926328691,0.41135681717085,"Negative","Negative",0.0556012618127105,"Gems or jewels ","GAME",22452,"10000000+","Everyone",4.18965474202643,4.76
